MUNICIPALITY,YEAR,FARM TYPE,CROP,MONTH,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha),Rain Value (mm)
BAKUN,2015,IRRIGATED,CABBAGE,OCT,135,5.0,55,11.0,658.2
BAKUN,2015,IRRIGATED,CABBAGE,NOV,110.69,155.0,3100,20.0,31.0
BAKUN,2015,IRRIGATED,CABBAGE,DEC,89,135.0,2700,20.0,192.1
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,JAN,15.68,5.0,55,11.0,41.6
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,FEB,34.32,5.0,55,11.0,47.9
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,MAR,35.2,15.68,392,25.0,75.3
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,APR,77,34.32,858,25.0,171.1
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,MAY,87,35.2,880,25.0,197.5
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,JUN,5,77.0,1925,25.0,404.7
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,JUL,5,87.0,2175,25.0,884.6
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,AUG,5,5.0,55,11.0,684.4
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,SEP,54,5.0,55,11.0,368.9
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,OCT,55,5.0,55,11.0,658.2
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,NOV,34,54.0,1350,25.0,31.0
BAKUN,2015,IRRIGATED,CHINESE CABBAGE,DEC,26.78,55.0,1375,25.0,192.1
BAKUN,2015,IRRIGATED,LETTUCE,JAN,0.09,5.0,55,11.0,41.6
BAKUN,2015,IRRIGATED,LETTUCE,FEB,3,5.0,55,11.0,47.9
BAKUN,2015,IRRIGATED,LETTUCE,MAR,3.25,0.09,0.9,10.0,75.3
BAKUN,2015,IRRIGATED,LETTUCE,APR,2,3.0,30,10.0,171.1
BAKUN,2015,IRRIGATED,LETTUCE,MAY,2,3.25,32.5,10.0,197.5
BAKUN,2015,IRRIGATED,LETTUCE,JUN,5,2.0,20,10.0,404.7
BAKUN,2015,IRRIGATED,LETTUCE,JUL,5,2.0,20,10.0,884.6
BAKUN,2015,IRRIGATED,LETTUCE,AUG,5,5.0,55,11.0,684.4
BAKUN,2015,IRRIGATED,LETTUCE,SEP,3,5.0,55,11.0,368.9
BAKUN,2015,IRRIGATED,LETTUCE,OCT,2,5.0,55,11.0,658.2
